
This is mm_MPC, an interior point solver for nonlinear programming generated by FORCES PRO v3.0.1.
Problem size: 400 variables, 210 equality and 1320 constraints in 20 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2020. All rights reserved. Email: info@embotech.com

  It.   objective   res_stat   res_eq   res_ineq   rsnorm   rcompnorm     barrier    step_p  step_d  lsit  dw       dc     skips
  ---------------------------------------------------------------------------------------------------------------------------------
    0  +8.6777e+03  2.06e+03  1.34e-01  0.00e+00  2.06e+03  2.76e+02    1.0e-01 (A)  0.0000  0.0000   1  1.6e-05  1.6e-05    0
    1  +1.3393e+07  5.30e+05  1.77e-01  3.46e-01  5.30e+05  5.17e+03    1.0e+02 (A)  0.0328  0.9422   1  2.0e-05  2.0e-05    0
    2  +2.5038e+06  2.21e+05  2.25e-01  1.68e+00  2.21e+05  2.19e+03    1.2e+02 (A)  0.5871  0.0268   1  2.0e-05  2.0e-05    0
    3  +2.0254e+06  2.13e+05  1.47e-01  8.83e-01  2.13e+05  2.08e+03    8.8e+01 (A)  0.0236  0.0057   1  2.1e-05  2.1e-05    0
    4  +1.7788e+06  2.11e+05  1.55e-01  8.61e-01  2.11e+05  2.09e+03    8.7e+01 (A)  0.0086  0.0121   1  1.4e-05  1.4e-05    0
    5  +1.5517e+06  2.04e+05  1.72e-01  7.97e-01  2.04e+05  2.04e+03    8.7e+01 (A)  0.0286  0.0131   1  1.3e-05  1.3e-05    0
    6  +1.5351e+06  2.03e+05  1.71e-01  7.96e-01  2.03e+05  2.38e+03    8.5e+01 (A)  0.0013  0.0419   1  1.3e-05  1.3e-05    0
    7  +1.4458e+06  1.97e+05  1.66e-01  7.76e-01  1.97e+05  2.34e+03    8.8e+01 (A)  0.0246  0.0529   1  1.3e-05  1.3e-05    0
    8  +1.1825e+06  1.79e+05  1.52e-01  6.97e-01  1.79e+05  2.11e+03    8.8e+01 (A)  0.0908  0.0195   1  1.2e-05  1.2e-05    0
    9  +1.1455e+06  1.76e+05  1.48e-01  6.87e-01  1.76e+05  2.12e+03    8.6e+01 (A)  0.0152  0.1276   1  1.1e-05  1.1e-05    0
   10  +9.8376e+05  1.64e+05  1.32e-01  6.41e-01  1.64e+05  1.97e+03    8.6e+01 (A)  0.0712  0.1301   1  1.0e-05  1.0e-05    0
   11  +9.0475e+05  1.57e+05  1.27e-01  6.15e-01  1.57e+05  1.89e+03    8.4e+01 (A)  0.0409  0.1210   1  8.9e-06  8.9e-06    0
   12  +8.5014e+05  1.53e+05  1.23e-01  6.80e-01  1.53e+05  1.84e+03    8.4e+01 (A)  0.0265  0.0516   1  8.4e-06  8.4e-06    0
   13  +6.2713e+05  1.36e+05  1.12e-01  2.90e+00  1.36e+05  1.63e+03    8.3e+01 (A)  0.1084  0.0193   1  8.0e-06  8.0e-06    0
   14  +3.0487e+05  9.69e+04  6.96e-02  3.21e+00  9.69e+04  1.16e+03    8.0e+01 (A)  0.2881  0.0625   1  7.2e-06  7.2e-06    0
   15  +1.1529e+05  5.97e+04  6.02e-02  3.35e+00  5.97e+04  7.10e+02    7.4e+01 (A)  0.3802  0.1374   1  4.8e-06  4.8e-06    0
   16  +3.6113e+04  3.20e+04  3.02e-02  2.96e+00  3.20e+04  5.04e+02    6.9e+01 (A)  0.4605  0.2707   1  4.2e-06  4.2e-06    0
   17  +3.0264e+03  2.10e+03  5.24e-02  2.20e+00  2.10e+03  2.75e+02    6.4e+01 (A)  0.9836  0.4847   1  2.4e-06  2.4e-06    0
